s/w_ratio,snippets,words,volid,date,author,title
0.012725344644750796,24,1886,mdp.39015071573615,1921,"Van Meter, Anna R.",First reader
0.010162920028197697,519,51068,00010856,1947,"Lambert, Janet",Practically perfect
0.009838493546794556,558,56716,00010671,1942,"Lambert, Janet",Dreams of glory
0.00955062771324651,407,42615,00010716,1943,"Lambert, Janet",Glory be!
0.008831299534532646,351,39745,uc2.ark:/13960/t6n010m4q,1916,"Richardson, Anna Steese.",Adventures in thrift
0.008384547848990342,573,68340,00010642,1941,"Lambert, Janet",Star spangled summer
0.0050890776516575205,677,133030,00010859,1947,"MacInnes, Helen",Friends and lovers
0.004615335306246728,432,93601,mdp.39015059377898,1919,"Hergesheimer, Joseph,",The three black Pennys;
0.004459826717149428,192,43051,njp.32101068601622,1908,"Henry, O.,",The gentle grafter
0.004430124848973017,11,2483,uc2.ark:/13960/t0000305f,1908,"Ryder, Robert O.",The young lady across the way
0.004204376977716802,190,45191,uc1.31158006737539,1908,"Reddall, Henry Frederic,",Wit and humor of business;
0.0038586411463733873,227,58829,nyp.33433074854591,1908,"Fox-Davies, Arthur Charles,",The finances of Sir John Kynnersley
0.003202303308067454,109,34038,uc2.ark:/13960/t4qj78t14,1911,"Thayer, John Adams,",Getting on;
0.0030819354554660326,70,22713,00010227,1924,"Rosenbach, A. S. W.",The unpublishable memoirs
0.0029435150922046548,385,130796,00010901,1948,"Kersh, Gerald",The song of the flea
0.002863024394860753,121,42263,uc2.ark:/13960/t0wp9tw6n,1900,"Alger, Horatio,","Phil, the fiddler;"
0.0027986238613879034,157,56099,00010943,1949,"Lasswell, Mary",One on the house
0.0027065125458133636,48,17735,uc2.ark:/13960/t7vm44x4w,1914,"Hobart, George V.",You should worry says John Henry
0.002584014286487364,191,73916,uc2.ark:/13960/t0rr1qg7x,1910,"Henry, O.,",Strictly business
0.00253613999492772,600,236580,coo.31924052662461,1901,"Balzac, Honoré de,",The works of Honoré de Balzac
0.002504880833977972,68,27147,nyp.33433074816574,1903,"Ade, George,",People you know
0.0024491333835719668,13,5308,nyp.33433074814975,1915,"White, J. J.",Funabout Fords
0.002389328466627445,199,83287,nyp.33433076060726,1905,"Pattee, Fred Lewis,",The house of the black ring
0.0023336150821359008,127,54422,nyp.33433074854849,1918,"Elder, Orville,",Mickey Peck
0.0023134055765250214,114,49278,00010411,1933,"Keeler, Harry Stephen",The Washington square enigma
0.0022957003655928116,454,197761,uc1.b3018347,1900,"Balzac, Honoré de,",Honoré de Balzac in twenty-five volumes;
0.0022492704107053884,158,70245,00010530,1937,"Sinclair, Upton",The flivver king
0.0022005303842464593,117,53169,uc2.ark:/13960/t2f766j16,1906,"Henry, O.,",The four million
0.002182904411764706,38,17408,nyp.33433067359236,1910,"Secretan, J. H. E.",Out west
0.002163981726376533,261,120611,uc2.ark:/13960/t1mg7hk0z,1900,"Balzac, Honoré de,",Honoré de Balzac in twenty-five volumes;
0.0021392073931007505,175,81806,00010248,1925,"Yezierska, Anzia",Bread givers
0.0021348946614849662,167,78224,yale.39002053503117,1914,"Callison, John James,","Bill Jones of Paradise Valley, Oklahoma;"
0.0021055140632448752,106,50344,00010276,1927,"Tully, Jim",Circus parade
0.0020890170706991972,134,64145,mdp.39015002708439,1909,"Henry, O.,",Options
0.0020396973352341265,93,45595,nyp.33433082520556,1907,"Chapman, Allen.","Bound to succeed, or, Mail order Frank's chances"
0.0020224305938591654,11,5439,nyp.33433043795131,1903,"Voorhies, Frank C.",Mrs. McPiggs' of the Very Old Scratch
